SZ,VZ,VA,LAI,BRF_toc,BRF_toc(NIR),BRF_toa,LAD,NDVI
10,30,0,0.01,0.177981,0.275788,0.157142,0.00656,0.215543592
10,30,0,0.1,0.166986,0.279328,0.149059,0.0656,0.251710679
10,30,0,0.5,0.13553,0.291983,0.124865,0.328,0.365960801
10,30,0,1,0.116148,0.30567,0.109875,0.656,0.449298038
10,30,0,2,0.098464,0.325841,0.096012,1.312,0.535881029
10,30,0,3,0.091724,0.336951,0.091017,1.968,0.572058086
10,30,0,4,0.088184,0.343371,0.087828,2.624,0.591319762
10,30,0,5,0.086788,0.346605,0.086919,3.28,0.599495146
10,30,0,6,0.085922,0.351736,0.08647,3.936,0.607355515
10,30,0,7,0.085946,0.35293,0.086068,4.592,0.60833584
10,30,18,0.01,0.177607,0.275442,0.157207,0.00656,0.215947944
10,30,18,0.1,0.166756,0.278802,0.148524,0.0656,0.251473433
10,30,18,0.5,0.135358,0.291379,0.12468,0.328,0.36561395
10,30,18,1,0.115746,0.305291,0.109744,0.656,0.450186088
10,30,18,2,0.098121,0.324055,0.095683,1.312,0.535165429
10,30,18,3,0.090739,0.334154,0.090157,1.968,0.572885409
10,30,18,4,0.087297,0.341239,0.087028,2.624,0.59258032
10,30,18,5,0.085868,0.344569,0.086011,3.28,0.601019429
10,30,18,6,0.085526,0.350538,0.085917,3.936,0.607736479
10,30,18,7,0.084845,0.351,0.084934,4.592,0.610664342
10,30,36,0.01,0.176889,0.274371,0.15626,0.00656,0.216021806
10,30,36,0.1,0.166308,0.278031,0.147968,0.0656,0.251436403
10,30,36,0.5,0.134447,0.289508,0.123772,0.328,0.365748723
10,30,36,1,0.114312,0.302632,0.108385,0.656,0.45166737
10,30,36,2,0.096022,0.319696,0.09376,1.312,0.538042615
10,30,36,3,0.087758,0.329007,0.087705,1.968,0.578860989
10,30,36,4,0.08466,0.335656,0.084933,2.624,0.597160232
10,30,36,5,0.083326,0.33806,0.083948,3.28,0.604514626
10,30,36,6,0.082712,0.344273,0.083719,3.936,0.612576554
10,30,36,7,0.081848,0.344515,0.08257,4.592,0.616064246
10,30,54,0.01,0.175929,0.272796,0.155368,0.00656,0.215871636
10,30,54,0.1,0.165395,0.276283,0.146613,0.0656,0.251060727
10,30,54,0.5,0.133355,0.286695,0.122433,0.328,0.36505178
10,30,54,1,0.112501,0.298577,0.106553,0.656,0.452653754
10,30,54,2,0.093363,0.313885,0.091418,1.312,0.541493144
10,30,54,3,0.084484,0.322358,0.085015,1.968,0.584683981
10,30,54,4,0.081339,0.328214,0.082103,2.624,0.602791336
10,30,54,5,0.080329,0.329834,0.081273,3.28,0.608306941
10,30,54,6,0.079409,0.335996,0.080881,3.936,0.617679132
10,30,54,7,0.078752,0.336021,0.079868,4.592,0.620264578
10,30,72,0.01,0.175044,0.271143,0.154314,0.00656,0.215378306
10,30,72,0.1,0.164396,0.274741,0.145663,0.0656,0.251276936
10,30,72,0.5,0.132083,0.284336,0.121085,0.328,0.365624527
10,30,72,1,0.110921,0.294338,0.105085,0.656,0.452592046
10,30,72,2,0.090842,0.308804,0.089224,1.312,0.545387668
10,30,72,3,0.08175,0.315739,0.082856,1.968,0.588667863
10,30,72,4,0.078282,0.320709,0.079816,2.624,0.607600171
10,30,72,5,0.07741,0.321177,0.079075,3.28,0.611577899
10,30,72,6,0.076273,0.328758,0.078189,3.936,0.623372038
10,30,72,7,0.07568,0.327041,0.077215,4.592,0.624156674
10,30,90,0.01,0.174373,0.269887,0.153046,0.00656,0.214995723
10,30,90,0.1,0.163496,0.273137,0.14458,0.0656,0.25110562
10,30,90,0.5,0.130714,0.282102,0.119784,0.328,0.366720282
10,30,90,1,0.109169,0.290533,0.102949,0.656,0.453748042
10,30,90,2,0.088603,0.303994,0.087096,1.312,0.548631294
10,30,90,3,0.079156,0.309292,0.08047,1.968,0.592449955
10,30,90,4,0.07555,0.313392,0.077153,2.624,0.611510199
10,30,90,5,0.074846,0.313618,0.076458,3.28,0.614656699
10,30,90,6,0.073627,0.320581,0.075736,3.936,0.626456084
10,30,90,7,0.073086,0.318368,0.074839,4.592,0.626592141
10,30,108,0.01,0.173802,0.2692,0.152057,0.00656,0.2153444
10,30,108,0.1,0.162888,0.271568,0.143748,0.0656,0.250151914
10,30,108,0.5,0.129663,0.279975,0.118192,0.328,0.366938614
10,30,108,1,0.107499,0.287609,0.101278,0.656,0.455850046
10,30,108,2,0.086457,0.299117,0.08512,1.312,0.551541338
10,30,108,3,0.076883,0.304148,0.078444,1.968,0.596447533
10,30,108,4,0.073064,0.306688,0.075122,2.624,0.6152015
10,30,108,5,0.072099,0.306791,0.074135,3.28,0.619419884
10,30,108,6,0.070485,0.312789,0.073382,3.936,0.632195244
10,30,108,7,0.070389,0.310199,0.072617,4.592,0.630103944
10,30,126,0.01,0.173529,0.268492,0.151566,0.00656,0.214838209
10,30,126,0.1,0.162242,0.270422,0.142901,0.0656,0.250032358
10,30,126,0.5,0.128732,0.278253,0.116817,0.328,0.367387004
10,30,126,1,0.106324,0.285637,0.09997,0.656,0.457476637
10,30,126,2,0.084829,0.295394,0.083679,1.312,0.553793432
10,30,126,3,0.075205,0.299089,0.076918,1.968,0.598150117
10,30,126,4,0.070886,0.300581,0.073314,2.624,0.61834564
10,30,126,5,0.070011,0.300477,0.072299,3.28,0.622060634
10,30,126,6,0.067868,0.305047,0.071163,3.936,0.636013569
10,30,126,7,0.068101,0.302997,0.070779,4.592,0.632975656
10,30,144,0.01,0.173267,0.26795,0.150877,0.00656,0.214595086
10,30,144,0.1,0.161892,0.269402,0.142181,0.0656,0.249273118
10,30,144,0.5,0.128179,0.277159,0.116096,0.328,0.367545111
10,30,144,1,0.105325,0.283522,0.099199,0.656,0.458270219
10,30,144,2,0.083539,0.292098,0.082418,1.312,0.555214209
10,30,144,3,0.073836,0.295215,0.07574,1.968,0.599860182
10,30,144,4,0.0697,0.296563,0.072338,2.624,0.619399175
10,30,144,5,0.068396,0.296256,0.070929,3.28,0.624869739
10,30,144,6,0.066463,0.299389,0.069918,3.936,0.636667286
10,30,144,7,0.066227,0.298215,0.069201,4.592,0.636556709
10,30,162,0.01,0.173164,0.267473,0.150515,0.00656,0.214028781
10,30,162,0.1,0.161802,0.269319,0.141905,0.0656,0.249389383
10,30,162,0.5,0.127939,0.276613,0.115423,0.328,0.367502818
10,30,162,1,0.104913,0.283034,0.098451,0.656,0.459137459
10,30,162,2,0.082999,0.291545,0.081884,1.312,0.556799735
10,30,162,3,0.073407,0.294891,0.075348,1.968,0.601371715
10,30,162,4,0.069597,0.294938,0.0719,2.624,0.618160122
10,30,162,5,0.068128,0.294691,0.070475,3.28,0.624451862
10,30,162,6,0.066206,0.296391,0.069444,3.936,0.634823234
10,30,162,7,0.065838,0.296507,0.068674,4.592,0.636600477
10,30,180,0.01,0.173095,0.267332,0.150571,0.00656,0.213967354
10,30,180,0.1,0.161746,0.269263,0.141905,0.0656,0.249454188
10,30,180,0.5,0.128151,0.276261,0.115535,0.328,0.366235423
10,30,180,1,0.1053,0.282519,0.098586,0.656,0.456963171
10,30,180,2,0.083516,0.291622,0.082151,1.312,0.554745187
10,30,180,3,0.074036,0.295713,0.075759,1.968,0.599533738
10,30,180,4,0.070756,0.295299,0.072626,2.624,0.613413285
10,30,180,5,0.069015,0.294242,0.071233,3.28,0.620021087
10,30,180,6,0.067145,0.297244,0.07005,3.936,0.631465275
10,30,180,7,0.067033,0.297247,0.069414,4.592,0.631969913
10,40,0,0.01,0.175171,0.272559,0.152967,0.00656,0.21751502
10,40,0,0.1,0.163531,0.276017,0.144438,0.0656,0.255912892
10,40,0,0.5,0.129236,0.288421,0.119391,0.328,0.381138111
10,40,0,1,0.10702,0.300333,0.102819,0.656,0.474558921
10,40,0,2,0.085743,0.316964,0.086974,1.312,0.574166826
10,40,0,3,0.077581,0.326855,0.081132,1.968,0.616349682
10,40,0,4,0.073262,0.333483,0.07765,2.624,0.639764472
10,40,0,5,0.072345,0.334574,0.077031,3.28,0.644425549
10,40,0,6,0.07108,0.338707,0.076258,3.936,0.653088068
