SZ,VZ,VA,gLAI,BRF_toc,BRF_toc(NIR),BRF_toa,,NDVI
10,30,0,0.01,0.191486,0.283882,0.171092,,0.194367311
10,30,0,0.1,0.177051,0.289261,0.159174,,0.240632881
10,30,0,0.5,0.129839,0.318443,0.12207,,0.420726239
10,30,0,1,0.094144,0.356134,0.094225,,0.581840552
10,30,0,2,0.060659,0.433949,0.069113,,0.754718888
10,30,0,3,0.047995,0.505664,0.059666,,0.826626136
10,30,0,4,0.043311,0.560943,0.056481,,0.856646377
10,30,0,5,0.041941,0.606105,0.055552,,0.870561658
10,30,0,6,0.041815,0.643388,0.055023,,0.877948579
10,30,0,7,0.042333,0.679331,0.055643,,0.882679474
10,30,18,0.01,0.191484,0.283876,0.170613,,0.194362168
10,30,18,0.1,0.17704,0.289213,0.158907,,0.240583975
10,30,18,0.5,0.129752,0.318196,0.121882,,0.420682758
10,30,18,1,0.093929,0.355434,0.093795,,0.581945999
10,30,18,2,0.060332,0.432894,0.068845,,0.755357585
10,30,18,3,0.047639,0.50429,0.059398,,0.827372724
10,30,18,4,0.042938,0.559317,0.056101,,0.857409237
10,30,18,5,0.041586,0.604468,0.055119,,0.871261535
10,30,18,6,0.041446,0.641546,0.054616,,0.87863401
10,30,18,7,0.041943,0.677384,0.055202,,0.883382662
10,30,36,0.01,0.191481,0.283859,0.170449,,0.194340893
10,30,36,0.1,0.176996,0.289072,0.158444,,0.240471348
10,30,36,0.5,0.12944,0.317388,0.12162,,0.420627176
10,30,36,1,0.093384,0.353786,0.09319,,0.582333341
10,30,36,2,0.059478,0.430185,0.068081,,0.757065574
10,30,36,3,0.04672,0.500611,0.05836,,0.829280636
10,30,36,4,0.041994,0.554998,0.055054,,0.859314698
10,30,36,5,0.040662,0.600078,0.054162,,0.873078004
10,30,36,6,0.040484,0.636973,0.05363,,0.880482451
10,30,36,7,0.040956,0.672277,0.054177,,0.88515394
10,30,54,0.01,0.191477,0.283834,0.170081,,0.194308568
10,30,54,0.1,0.176948,0.28886,0.158061,,0.240253495
10,30,54,0.5,0.129092,0.316084,0.12092,,0.420040613
10,30,54,1,0.092655,0.351639,0.092643,,0.582911315
10,30,54,2,0.058395,0.426361,0.066959,,0.759074668
10,30,54,3,0.045546,0.495716,0.056982,,0.831704424
10,30,54,4,0.040789,0.549391,0.053813,,0.861774374
10,30,54,5,0.039436,0.594262,0.052916,,0.875536928
10,30,54,6,0.039231,0.630661,0.052266,,0.882873657
10,30,54,7,0.039667,0.665469,0.052893,,0.887491207
10,30,72,0.01,0.191472,0.283805,0.169364,,0.194271972
10,30,72,0.1,0.176888,0.288604,0.157604,,0.239995532
10,30,72,0.5,0.128725,0.31476,0.119614,,0.419484312
10,30,72,1,0.091884,0.348978,0.091425,,0.583162078
10,30,72,2,0.057282,0.42224,0.065614,,0.761087083
10,30,72,3,0.044323,0.490549,0.055625,,0.83426689
10,30,72,4,0.039534,0.543686,0.052366,,0.864428518
10,30,72,5,0.038157,0.588024,0.051483,,0.87812789
10,30,72,6,0.037924,0.624244,0.050655,,0.885455051
10,30,72,7,0.038313,0.658333,0.051284,,0.890007263
10,30,90,0.01,0.191466,0.283774,0.16866,,0.194234492
10,30,90,0.1,0.176826,0.288332,0.15639,,0.239716397
10,30,90,0.5,0.128369,0.313303,0.118625,,0.418713434
10,30,90,1,0.091206,0.346478,0.090352,,0.583233566
10,30,90,2,0.056253,0.418328,0.064396,,0.762936148
10,30,90,3,0.043193,0.485667,0.054424,,0.836656204
10,30,90,4,0.038372,0.538359,0.051025,,0.866932764
10,30,90,5,0.03697,0.582151,0.050205,,0.880572618
10,30,90,6,0.03671,0.618124,0.049286,,0.887879982
10,30,90,7,0.037051,0.65164,0.049942,,0.892401672
10,30,108,0.01,0.191461,0.283744,0.168112,,0.194196189
10,30,108,0.1,0.176671,0.288069,0.155754,,0.239699617
10,30,108,0.5,0.128032,0.312013,0.118136,,0.418095877
10,30,108,1,0.090576,0.344319,0.089287,,0.583458076
10,30,108,2,0.055373,0.414899,0.063191,,0.764506498
10,30,108,3,0.042214,0.481409,0.053161,,0.838761857
10,30,108,4,0.037376,0.533733,0.050004,,0.8691108
10,30,108,5,0.035945,0.576896,0.048836,,0.88269388
10,30,108,6,0.03565,0.612697,0.047996,,0.890028025
10,30,108,7,0.035958,0.645824,0.048622,,0.894517602
10,30,126,0.01,0.191456,0.283719,0.167712,,0.19416636
10,30,126,0.1,0.17662,0.28785,0.155351,,0.239477254
10,30,126,0.5,0.127736,0.310995,0.117442,,0.417702419
10,30,126,1,0.090091,0.342403,0.088344,,0.58338844
10,30,126,2,0.054645,0.412002,0.062427,,0.765797273
10,30,126,3,0.041413,0.477926,0.052232,,0.840516503
10,30,126,4,0.036572,0.530033,0.048945,,0.870908305
10,30,126,5,0.035109,0.572701,0.04789,,0.884473766
10,30,126,6,0.034792,0.608165,0.047137,,0.891775033
10,30,126,7,0.035069,0.641203,0.047639,,0.896287293
10,30,144,0.01,0.191452,0.283699,0.167473,,0.194142494
10,30,144,0.1,0.17658,0.287684,0.15515,,0.239312116
10,30,144,0.5,0.127561,0.310131,0.117021,,0.417119801
10,30,144,1,0.08974,0.341031,0.087748,,0.583351711
10,30,144,2,0.054123,0.409983,0.061601,,0.766764489
10,30,144,3,0.040833,0.475409,0.05145,,0.84180675
10,30,144,4,0.035974,0.527367,0.048354,,0.872283395
10,30,144,5,0.034501,0.569777,0.047283,,0.885810835
