SZ,VZ,VA,LAI,BRF_toc,BRF_toc(NIR),BRF_toa,LAD,NDVI
10,30,0,0.01,0.183873,0.28,0.163493,0.01314,0.207226978
10,30,0,0.1,0.173839,0.283712,0.15562,0.1314,0.240132794
10,30,0,0.5,0.152152,0.295639,0.136535,0.657,0.32043297
10,30,0,1,0.142501,0.305597,0.129912,1.314,0.363973952
10,30,0,2,0.136385,0.315276,0.124447,2.628,0.396073604
10,30,0,3,0.134394,0.316771,0.122727,3.942,0.404235701
10,30,0,4,0.134448,0.319906,0.122762,5.256,0.408179525
10,30,0,5,0.13406,0.320606,0.122594,6.57,0.41029239
10,30,0,6,0.133934,0.324101,0.122266,7.884,0.415180063
10,30,18,0.01,0.183747,0.280132,0.163372,0.01314,0.207780477
10,30,18,0.1,0.173667,0.283494,0.155326,0.1314,0.240237028
10,30,18,0.5,0.151803,0.295043,0.135945,0.657,0.320557866
10,30,18,1,0.142035,0.30501,0.129362,1.314,0.364560615
10,30,18,2,0.135725,0.313929,0.123964,2.628,0.39631361
10,30,18,3,0.133914,0.315715,0.122517,3.942,0.404335574
10,30,18,4,0.134077,0.318942,0.122229,5.256,0.408073392
10,30,18,5,0.13376,0.319566,0.122465,6.57,0.409872807
10,30,18,6,0.133647,0.322958,0.122102,7.884,0.414605622
10,30,36,0.01,0.183421,0.279617,0.162692,0.01314,0.207749688
10,30,36,0.1,0.17335,0.282999,0.154524,0.1314,0.240274439
10,30,36,0.5,0.151075,0.293418,0.135107,0.657,0.320236764
10,30,36,1,0.140776,0.302362,0.127852,1.314,0.36464036
10,30,36,2,0.134552,0.310311,0.122345,2.628,0.395085678
10,30,36,3,0.132499,0.312393,0.121044,3.942,0.404354315
10,30,36,4,0.132341,0.315328,0.120533,5.256,0.408755129
10,30,36,5,0.131943,0.315694,0.120447,6.57,0.41049109
10,30,36,6,0.13178,0.318739,0.120235,7.884,0.414985827
10,30,54,0.01,0.182921,0.279105,0.161942,0.01314,0.208178761
10,30,54,0.1,0.172851,0.282265,0.153657,0.1314,0.240409039
