SZ,VZ,VA,LAI,BRF_toc,BRF_toc(NIR),BRF_toa,LAD,NDVI
10,30,0,0.01,0.145041,0.238841,0.132305,0.002422,0.244345919
10,30,0,0.1,0.135744,0.238212,0.124708,0.02422,0.274010846
10,30,0,0.5,0.104554,0.25113,0.10107,0.1211,0.41209613
10,30,0,1,0.079503,0.266841,0.082497,0.2422,0.540901531
10,30,0,2,0.05317,0.29098,0.063165,0.4844,0.691006828
10,30,0,3,0.040082,0.314774,0.053347,0.7266,0.77409428
10,30,0,4,0.033346,0.326329,0.049113,0.9688,0.814577049
10,30,0,5,0.029287,0.337009,0.045718,1.211,0.840091074
10,30,0,6,0.025967,0.34588,0.043664,1.4532,0.86033503
10,30,0,7,0.024002,0.354108,0.042183,1.6954,0.873042236
10,30,18,0.01,0.1407,0.233138,0.128821,0.002422,0.247267533
10,30,18,0.1,0.132186,0.233954,0.121955,0.02422,0.277948326
10,30,18,0.5,0.101709,0.246993,0.099312,0.1211,0.416642291
10,30,18,1,0.077407,0.263713,0.080948,0.2422,0.546159709
10,30,18,2,0.051827,0.289127,0.062081,0.4844,0.695988315
10,30,18,3,0.039663,0.313127,0.053104,0.7266,0.775146688
10,30,18,4,0.032822,0.32473,0.048724,0.9688,0.816407124
10,30,18,5,0.028914,0.336746,0.045494,1.211,0.841853088
10,30,18,6,0.026051,0.344685,0.043775,1.4532,0.859463338
10,30,18,7,0.024233,0.353428,0.042303,1.6954,0.871667977
10,30,36,0.01,0.137797,0.227239,0.126714,0.002422,0.245022409
10,30,36,0.1,0.129915,0.229773,0.120124,0.02422,0.277623941
10,30,36,0.5,0.100003,0.242279,0.097745,0.1211,0.415668951
10,30,36,1,0.075701,0.259874,0.079443,0.2422,0.548828131
10,30,36,2,0.050602,0.284948,0.060918,0.4844,0.698393682
10,30,36,3,0.038139,0.310051,0.051719,0.7266,0.780929952
10,30,36,4,0.031719,0.322576,0.047654,0.9688,0.820945822
10,30,36,5,0.027666,0.333019,0.044328,1.211,0.846591902
10,30,36,6,0.025061,0.340752,0.042881,1.4532,0.86298464
10,30,36,7,0.023688,0.349686,0.041456,1.6954,0.873113822
10,30,54,0.01,0.135748,0.22361,0.124877,0.002422,0.244497131
10,30,54,0.1,0.127887,0.225802,0.118383,0.02422,0.276839257
10,30,54,0.5,0.098578,0.238459,0.096367,0.1211,0.415031584
10,30,54,1,0.074621,0.256745,0.078371,0.2422,0.549615833
10,30,54,2,0.049229,0.282535,0.05966,0.4844,0.703228801
10,30,54,3,0.037315,0.30688,0.050781,0.7266,0.783175235
10,30,54,4,0.03042,0.318199,0.046278,0.9688,0.825482834
10,30,54,5,0.02659,0.327833,0.043116,1.211,0.849953304
10,30,54,6,0.024096,0.33603,0.041663,1.4532,0.86618017
10,30,54,7,0.02252,0.346226,0.040077,1.6954,0.877856302
10,30,72,0.01,0.135009,0.223709,0.124224,0.002422,0.247269443
10,30,72,0.1,0.127431,0.224128,0.117372,0.02422,0.275051983
10,30,72,0.5,0.097017,0.236996,0.094502,0.1211,0.419082491
10,30,72,1,0.073888,0.254704,0.077138,0.2422,0.550275113
10,30,72,2,0.049197,0.280214,0.058972,0.4844,0.701303235
10,30,72,3,0.037254,0.30312,0.050102,0.7266,0.781099614
10,30,72,4,0.030645,0.314007,0.04571,0.9688,0.822168448
10,30,72,5,0.026477,0.323869,0.042713,1.211,0.848852277
10,30,72,6,0.023879,0.331772,0.040944,1.4532,0.865716672
10,30,72,7,0.021886,0.340875,0.039081,1.6954,0.879336533
10,30,90,0.01,0.134493,0.22176,0.123044,0.002422,0.244957937
10,30,90,0.1,0.126638,0.223805,0.115987,0.02422,0.277269057
10,30,90,0.5,0.09774,0.235857,0.094255,0.1211,0.414023507
10,30,90,1,0.074146,0.251677,0.076486,0.2422,0.544869454
10,30,90,2,0.048361,0.276922,0.057832,0.4844,0.702652767
10,30,90,3,0.036187,0.298691,0.048607,0.7266,0.783879502
10,30,90,4,0.029997,0.310139,0.044715,0.9688,0.823617612
10,30,90,5,0.025668,0.318183,0.041501,1.211,0.850702775
10,30,90,6,0.022975,0.325729,0.039777,1.4532,0.868226347
10,30,90,7,0.021132,0.333841,0.037921,1.6954,0.880937423
10,30,108,0.01,0.134772,0.221966,0.122676,0.002422,0.244420275
10,30,108,0.1,0.126426,0.222394,0.115465,0.02422,0.275121839
10,30,108,0.5,0.097032,0.23423,0.093385,0.1211,0.414167638
10,30,108,1,0.073242,0.250264,0.075449,0.2422,0.547198506
10,30,108,2,0.047798,0.274643,0.057013,0.4844,0.703524056
10,30,108,3,0.036689,0.296126,0.048449,0.7266,0.779523159
10,30,108,4,0.030007,0.306968,0.044094,0.9688,0.821903702
10,30,108,5,0.025703,0.314517,0.04086,1.211,0.848903651
10,30,108,6,0.022851,0.320979,0.039215,1.4532,0.867079661
10,30,108,7,0.021382,0.329436,0.03762,1.6954,0.878102036
10,30,126,0.01,0.133278,0.219981,0.121122,0.002422,0.245437484
10,30,126,0.1,0.124894,0.220893,0.114096,0.02422,0.277624665
10,30,126,0.5,0.09582,0.232087,0.092547,0.1211,0.415565999
10,30,126,1,0.072671,0.249367,0.074749,0.2422,0.54868059
10,30,126,2,0.047923,0.271766,0.056854,0.4844,0.700189872
10,30,126,3,0.036135,0.293814,0.047657,0.7266,0.780966149
10,30,126,4,0.029665,0.303862,0.043421,0.9688,0.822113352
10,30,126,5,0.025483,0.310345,0.040283,1.211,0.848237788
10,30,126,6,0.022538,0.318091,0.038604,1.4532,0.867668343
10,30,126,7,0.020816,0.325756,0.036836,1.6954,0.879874889
10,30,144,0.01,0.133768,0.221243,0.120926,0.002422,0.246400816
10,30,144,0.1,0.125307,0.219589,0.113997,0.02422,0.273363565
10,30,144,0.5,0.095837,0.231531,0.091927,0.1211,0.41449989
10,30,144,1,0.072303,0.247826,0.073992,0.2422,0.548288346
10,30,144,2,0.048027,0.271773,0.056558,0.4844,0.699643527
10,30,144,3,0.035576,0.291938,0.047083,0.7266,0.782751272
10,30,144,4,0.029422,0.301994,0.04289,0.9688,0.822446713
10,30,144,5,0.025589,0.30898,0.040002,1.211,0.847033048
10,30,144,6,0.022425,0.315932,0.038139,1.4532,0.867447696
10,30,144,7,0.020614,0.323257,0.036426,1.6954,0.880106203
10,30,162,0.01,0.134351,0.220751,0.120795,0.002422,0.243310373
10,30,162,0.1,0.125326,0.219879,0.113735,0.02422,0.273903912
10,30,162,0.5,0.097098,0.231739,0.092556,0.1211,0.409446017
10,30,162,1,0.073366,0.247338,0.074317,0.2422,0.542469068
10,30,162,2,0.048436,0.271425,0.056288,0.4844,0.697143447
10,30,162,3,0.03584,0.290794,0.046944,0.7266,0.780549484
10,30,162,4,0.029679,0.301608,0.0428,0.9688,0.820826051
10,30,162,5,0.025254,0.309039,0.039545,1.211,0.848910985
10,30,162,6,0.022594,0.314978,0.037976,1.4532,0.866138187
10,30,162,7,0.020903,0.322236,0.036374,1.6954,0.878165991
10,30,180,0.01,0.133815,0.218413,0.120845,0.002422,0.240179656
10,30,180,0.1,0.125201,0.21959,0.113679,0.02422,0.273757146
10,30,180,0.5,0.096142,0.231639,0.092028,0.1211,0.413376614
10,30,180,1,0.073154,0.248144,0.074049,0.2422,0.544634576
10,30,180,2,0.048442,0.271581,0.056253,0.4844,0.697259259
10,30,180,3,0.036144,0.290981,0.046859,0.7266,0.779020252
10,30,180,4,0.029473,0.300937,0.042555,0.9688,0.821597409
10,30,180,5,0.025652,0.308307,0.039766,1.211,0.846376352
10,30,180,6,0.022968,0.314926,0.037951,1.4532,0.86405204
10,30,180,7,0.0213,0.321627,0.036485,1.6954,0.875775311
10,40,0,0.01,0.134825,0.224012,0.123518,0.002422,0.248544604
10,40,0,0.1,0.12547,0.225173,0.116343,0.02422,0.284343335
10,40,0,0.5,0.095924,0.242064,0.094502,0.1211,0.432382215
10,40,0,1,0.072241,0.260984,0.07697,0.2422,0.566413084
10,40,0,2,0.0475,0.289087,0.059212,0.4844,0.717754994
10,40,0,3,0.035645,0.314377,0.050461,0.7266,0.796327088
10,40,0,4,0.029131,0.327137,0.046686,0.9688,0.836465807
10,40,0,5,0.025358,0.337278,0.043809,1.211,0.860146262
10,40,0,6,0.023114,0.345389,0.04253,1.4532,0.874551903
10,40,0,7,0.021165,0.353535,0.041039,1.6954,0.887029624
10,40,18,0.01,0.130855,0.218962,0.120821,0.002422,0.251865976
10,40,18,0.1,0.122725,0.220264,0.114314,0.02422,0.284379382
10,40,18,0.5,0.093445,0.23766,0.092982,0.1211,0.435556697
10,40,18,1,0.070518,0.257817,0.075875,0.2422,0.570450911
10,40,18,2,0.046032,0.287644,0.058099,0.4844,0.724091634
10,40,18,3,0.035209,0.31429,0.0502,0.7266,0.798517306
10,40,18,4,0.029231,0.32674,0.046586,0.9688,0.83576752
10,40,18,5,0.025539,0.337223,0.043791,1.211,0.859196939
10,40,18,6,0.02294,0.3447,0.042218,1.4532,0.875204004
10,40,18,7,0.021239,0.354767,0.040724,1.6954,0.887028398
10,40,36,0.01,0.127747,0.212735,0.118481,0.002422,0.249610846
10,40,36,0.1,0.120537,0.216092,0.11238,0.02422,0.283858491
10,40,36,0.5,0.091526,0.232931,0.091388,0.1211,0.435820463
10,40,36,1,0.068282,0.25451,0.074094,0.2422,0.576928796
10,40,36,2,0.045049,0.283567,0.057423,0.4844,0.725825888
10,40,36,3,0.033626,0.310441,0.048867,0.7266,0.80453807
10,40,36,4,0.027831,0.323207,0.045348,0.9688,0.84143597
10,40,36,5,0.024214,0.333284,0.042392,1.211,0.864536305
10,40,36,6,0.021906,0.340199,0.041271,1.4532,0.87900747
10,40,36,7,0.020296,0.349884,0.039788,1.6954,0.890345237
10,40,54,0.01,0.125572,0.209045,0.116703,0.002422,0.249458336
10,40,54,0.1,0.116871,0.211539,0.109654,0.02422,0.288261624
10,40,54,0.5,0.089923,0.228782,0.089657,0.1211,0.435697589
10,40,54,1,0.067263,0.251599,0.072945,0.2422,0.578105889
10,40,54,2,0.043641,0.28173,0.056089,0.4844,0.731746222
10,40,54,3,0.032869,0.307301,0.047759,0.7266,0.806749566
10,40,54,4,0.027167,0.319857,0.044558,0.9688,0.843428697
10,40,54,5,0.023358,0.330103,0.04142,1.211,0.86783266
10,40,54,6,0.021373,0.337267,0.040461,1.4532,0.880810841
10,40,54,7,0.019666,0.345562,0.038751,1.6954,0.892308366
10,40,72,0.01,0.123974,0.207994,0.115171,0.002422,0.253096684
10,40,72,0.1,0.116702,0.209134,0.108844,0.02422,0.283676451
10,40,72,0.5,0.088168,0.22655,0.087671,0.1211,0.439701574
10,40,72,1,0.066441,0.248603,0.071925,0.2422,0.578211297
10,40,72,2,0.043909,0.278644,0.055538,0.4844,0.727740867
10,40,72,3,0.03313,0.303538,0.047378,0.7266,0.803188898
10,40,72,4,0.027051,0.316521,0.043709,0.9688,0.842530823
10,40,72,5,0.02366,0.325711,0.041151,1.211,0.864556589
10,40,72,6,0.021349,0.332575,0.039688,1.4532,0.87935828
10,40,72,7,0.019898,0.341476,0.038083,1.6954,0.889875863
10,40,90,0.01,0.123356,0.205777,0.114229,0.002422,0.250418524
10,40,90,0.1,0.115727,0.208346,0.107594,0.02422,0.285796719
10,40,90,0.5,0.088278,0.224692,0.086835,0.1211,0.435869253
10,40,90,1,0.066234,0.245012,0.070727,0.2422,0.57439453
10,40,90,2,0.042751,0.274677,0.054154,0.4844,0.730641279
10,40,90,3,0.031647,0.298433,0.045991,0.7266,0.808246486
10,40,90,4,0.025864,0.310746,0.042497,0.9688,0.846326609
10,40,90,5,0.022617,0.319139,0.039788,1.211,0.867642412
10,40,90,6,0.020465,0.326761,0.038792,1.4532,0.882122883
