SZ,VZ,VA,LAI,BRF_toc,BRF_toc(NIR),BRF_toa,LAD,NDVI
10,30,0,0.01,0.13898,0.232175,0.126601,0.004976,0.251094556
10,30,0,0.1,0.13095,0.231604,0.120363,0.04976,0.27762485
10,30,0,0.5,0.102336,0.225199,0.099223,0.2488,0.37511411
10,30,0,1,0.079472,0.222335,0.082542,0.4976,0.473358802
10,30,0,2,0.055859,0.2119,0.065161,0.9952,0.582766592
10,30,0,3,0.042535,0.209496,0.056234,1.4928,0.662462157
10,30,0,4,0.034181,0.205374,0.049077,1.9904,0.714629208
10,30,0,5,0.02938,0.203201,0.046321,2.488,0.747356835
10,30,0,6,0.026151,0.201261,0.043576,2.9856,0.770012137
10,30,0,7,0.023975,0.198116,0.042165,3.4832,0.78409751
10,30,18,0.01,0.128708,0.213831,0.119897,0.004976,0.24850601
10,30,18,0.1,0.119951,0.216162,0.113267,0.04976,0.286245995
10,30,18,0.5,0.093719,0.2125,0.093621,0.2488,0.387895591
10,30,18,1,0.073414,0.209851,0.078694,0.4976,0.481658518
10,30,18,2,0.051321,0.204231,0.06213,0.9952,0.598351803
10,30,18,3,0.03869,0.20278,0.053466,1.4928,0.679546113
10,30,18,4,0.031892,0.200136,0.047618,1.9904,0.725102143
10,30,18,5,0.02756,0.199277,0.044997,2.488,0.757006132
10,30,18,6,0.024874,0.197428,0.042563,2.9856,0.776214339
10,30,18,7,0.02281,0.194269,0.041265,3.4832,0.789846093
10,30,36,0.01,0.126783,0.213102,0.118035,0.004976,0.253965312
10,30,36,0.1,0.119246,0.212641,0.112555,0.04976,0.281406021
10,30,36,0.5,0.092706,0.209426,0.092482,0.2488,0.386321211
10,30,36,1,0.071527,0.207616,0.077203,0.4976,0.487524315
10,30,36,2,0.049817,0.200356,0.060666,0.9952,0.601739596
10,30,36,3,0.037958,0.199117,0.052577,1.4928,0.67978066
10,30,36,4,0.030363,0.194735,0.046287,1.9904,0.730224169
10,30,36,5,0.026446,0.192068,0.043972,2.488,0.757946859
10,30,36,6,0.023603,0.191443,0.04152,2.9856,0.780484175
10,30,36,7,0.021671,0.188311,0.040285,3.4832,0.793591832
10,30,54,0.01,0.126835,0.21144,0.117515,0.004976,0.250107161
10,30,54,0.1,0.117502,0.211649,0.110539,0.04976,0.286029816
10,30,54,0.5,0.092516,0.20704,0.091557,0.2488,0.382312489
10,30,54,1,0.071338,0.204714,0.076423,0.4976,0.483155348
10,30,54,2,0.049985,0.196882,0.060331,0.9952,0.595045105
10,30,54,3,0.037085,0.194679,0.051506,1.4928,0.679976183
10,30,54,4,0.029637,0.190904,0.045137,1.9904,0.731233648
10,30,54,5,0.025621,0.188122,0.043148,2.488,0.760263494
10,30,54,6,0.022819,0.187178,0.040493,2.9856,0.782673086
10,30,54,7,0.020987,0.182585,0.039359,3.4832,0.793812509
10,30,72,0.01,0.125235,0.207505,0.116178,0.004976,0.247250105
10,30,72,0.1,0.117228,0.210382,0.109594,0.04976,0.28434419
10,30,72,0.5,0.090894,0.206221,0.089916,0.2488,0.388156101
10,30,72,1,0.07034,0.202696,0.075129,0.4976,0.484756589
10,30,72,2,0.048698,0.194629,0.058843,0.9952,0.599732048
10,30,72,3,0.036625,0.190727,0.050595,1.4928,0.677812379
10,30,72,4,0.029628,0.187524,0.044496,1.9904,0.727122016
10,30,72,5,0.025072,0.183364,0.042108,2.488,0.759427354
10,30,72,6,0.022309,0.181306,0.039463,2.9856,0.780870761
10,30,72,7,0.020104,0.175715,0.038053,3.4832,0.794667525
10,30,90,0.01,0.124551,0.206612,0.114918,0.004976,0.247796402
10,30,90,0.1,0.115937,0.205791,0.108167,0.04976,0.279285608
10,30,90,0.5,0.090097,0.202615,0.088614,0.2488,0.384398316
10,30,90,1,0.069561,0.199937,0.073994,0.4976,0.483773534
10,30,90,2,0.048038,0.192407,0.057634,0.9952,0.600424213
10,30,90,3,0.035517,0.187239,0.049311,1.4928,0.681112967
10,30,90,4,0.028465,0.182081,0.043056,1.9904,0.729607782
10,30,90,5,0.02396,0.177218,0.040741,2.488,0.76180298
10,30,90,6,0.0214,0.174976,0.038316,2.9856,0.78205076
10,30,90,7,0.0195,0.168299,0.036913,3.4832,0.792331163
10,30,108,0.01,0.123386,0.203215,0.113226,0.004976,0.244423624
10,30,108,0.1,0.114489,0.203334,0.106666,0.04976,0.279542387
10,30,108,0.5,0.089566,0.200006,0.087559,0.2488,0.381390466
10,30,108,1,0.067954,0.195832,0.072196,0.4976,0.484779329
10,30,108,2,0.047191,0.189047,0.056655,0.9952,0.600479178
10,30,108,3,0.03493,0.183514,0.048324,1.4928,0.680192635
10,30,108,4,0.027987,0.178095,0.04227,1.9904,0.72838967
10,30,108,5,0.023689,0.172716,0.040013,2.488,0.758773962
10,30,108,6,0.020376,0.169347,0.037051,2.9856,0.785202638
10,30,108,7,0.018623,0.163315,0.035834,3.4832,0.795281909
10,30,126,0.01,0.122257,0.203085,0.112136,0.004976,0.248440103
10,30,126,0.1,0.113957,0.201794,0.105814,0.04976,0.278184392
10,30,126,0.5,0.088225,0.19972,0.086259,0.2488,0.387209363
10,30,126,1,0.067587,0.195408,0.071259,0.4976,0.486020647
10,30,126,2,0.046371,0.186432,0.055722,0.9952,0.601628845
10,30,126,3,0.033895,0.181134,0.047103,1.4928,0.684740198
10,30,126,4,0.026593,0.175134,0.040879,1.9904,0.736346647
10,30,126,5,0.022548,0.168998,0.038735,2.488,0.764568302
10,30,126,6,0.019608,0.165536,0.036128,2.9856,0.788186493
10,30,126,7,0.017605,0.159923,0.034703,3.4832,0.801665089
10,30,144,0.01,0.12148,0.199654,0.110944,0.004976,0.243431091
10,30,144,0.1,0.112088,0.19815,0.104132,0.04976,0.277406378
10,30,144,0.5,0.087449,0.196656,0.085327,0.2488,0.384389574
10,30,144,1,0.066762,0.193048,0.07025,0.4976,0.48607059
10,30,144,2,0.045188,0.184985,0.054437,0.9952,0.607356206
10,30,144,3,0.033639,0.179323,0.046505,1.4928,0.684084485
10,30,144,4,0.026268,0.172761,0.040392,1.9904,0.736038467
10,30,144,5,0.021964,0.166369,0.037987,2.488,0.766753569
10,30,144,6,0.018906,0.162421,0.035293,2.9856,0.791470658
10,30,144,7,0.016857,0.156795,0.033887,3.4832,0.805853085
10,30,162,0.01,0.121417,0.199048,0.110827,0.004976,0.242244863
10,30,162,0.1,0.113725,0.198207,0.10537,0.04976,0.270834669
10,30,162,0.5,0.087253,0.196066,0.085303,0.2488,0.384065312
10,30,162,1,0.066132,0.191159,0.069975,0.4976,0.485936158
10,30,162,2,0.045346,0.183217,0.05432,0.9952,0.603207868
10,30,162,3,0.033267,0.178823,0.046145,1.4928,0.686293555
10,30,162,4,0.025946,0.172207,0.040053,1.9904,0.738121553
10,30,162,5,0.021721,0.165749,0.037658,2.488,0.768272257
10,30,162,6,0.018982,0.159491,0.0352,2.9856,0.787284351
10,30,162,7,0.017132,0.155493,0.033822,3.4832,0.801511948
10,30,180,0.01,0.121096,0.198592,0.110425,0.004976,0.242411351
10,30,180,0.1,0.112611,0.198229,0.104368,0.04976,0.275440741
10,30,180,0.5,0.087384,0.195162,0.085336,0.2488,0.381452932
10,30,180,1,0.066486,0.191592,0.069965,0.4976,0.484760421
10,30,180,2,0.045233,0.183528,0.054327,0.9952,0.604539235
10,30,180,3,0.033244,0.178498,0.046317,1.4928,0.685995221
10,30,180,4,0.02624,0.17101,0.040237,1.9904,0.733941698
10,30,180,5,0.022182,0.164591,0.037962,2.488,0.762471021
10,30,180,6,0.019019,0.159361,0.03524,2.9856,0.786758605
10,30,180,7,0.017382,0.154411,0.033928,3.4832,0.797640183
10,40,0,0.01,0.122422,0.20605,0.114484,0.004976,0.254597043
10,40,0,0.1,0.115176,0.207366,0.108647,0.04976,0.285823242
10,40,0,0.5,0.088898,0.20301,0.089515,0.2488,0.390917686
10,40,0,1,0.068066,0.203454,0.074905,0.4976,0.498629935
10,40,0,2,0.046298,0.197533,0.058897,0.9952,0.62024517
10,40,0,3,0.034729,0.196394,0.051544,1.4928,0.699476037
10,40,0,4,0.027409,0.194229,0.045039,1.9904,0.752668766
10,40,0,5,0.023379,0.192716,0.042856,2.488,0.783622944
10,40,0,6,0.02076,0.190573,0.040521,2.9856,0.803532813
10,40,0,7,0.019349,0.188473,0.039799,3.4832,0.813792572
10,40,18,0.01,0.113576,0.191045,0.108713,0.004976,0.254312736
10,40,18,0.1,0.105522,0.193625,0.102435,0.04976,0.294514068
10,40,18,0.5,0.081893,0.192908,0.085098,0.2488,0.403983246
10,40,18,1,0.062853,0.193065,0.071793,0.4976,0.508803601
10,40,18,2,0.042271,0.191507,0.056346,0.9952,0.638366313
10,40,18,3,0.031616,0.192683,0.049076,1.4928,0.718090584
10,40,18,4,0.026013,0.190549,0.044084,1.9904,0.759763948
10,40,18,5,0.022022,0.189448,0.041949,2.488,0.791724595
10,40,18,6,0.019176,0.188212,0.039482,2.9856,0.815071267
10,40,18,7,0.017763,0.18476,0.038763,3.4832,0.824582887
10,40,36,0.01,0.111907,0.189509,0.107003,0.004976,0.257458131
10,40,36,0.1,0.104719,0.19016,0.101366,0.04976,0.289749355
10,40,36,0.5,0.080633,0.18997,0.083675,0.2488,0.404049475
10,40,36,1,0.061084,0.19095,0.070081,0.4976,0.515271749
10,40,36,2,0.041608,0.188204,0.055311,0.9952,0.637895323
10,40,36,3,0.031088,0.189027,0.048366,1.4928,0.717529473
10,40,36,4,0.024674,0.186539,0.042999,1.9904,0.766359078
10,40,36,5,0.021254,0.184491,0.041189,2.488,0.793394736
10,40,36,6,0.018703,0.184543,0.038904,2.9856,0.815957018
10,40,36,7,0.017108,0.180388,0.038077,3.4832,0.826750922
10,40,54,0.01,0.111831,0.188365,0.106252,0.004976,0.254946768
10,40,54,0.1,0.103033,0.189645,0.099717,0.04976,0.295929315
10,40,54,0.5,0.079899,0.188214,0.082593,0.2488,0.403990109
10,40,54,1,0.060979,0.187745,0.069354,0.4976,0.509665332
10,40,54,2,0.041705,0.184726,0.054831,0.9952,0.631631711
10,40,54,3,0.030435,0.185601,0.047495,1.4928,0.718241404
10,40,54,4,0.023843,0.182248,0.041843,1.9904,0.768616776
10,40,54,5,0.020481,0.179481,0.040159,2.488,0.795151079
10,40,54,6,0.018187,0.180198,0.03797,2.9856,0.816649444
10,40,54,7,0.016514,0.175321,0.037145,3.4832,0.827831209
10,40,72,0.01,0.109904,0.183897,0.104622,0.004976,0.251847339
10,40,72,0.1,0.102931,0.187198,0.098733,0.04976,0.290446663
10,40,72,0.5,0.078332,0.186202,0.080776,0.2488,0.40777367
