SZ,VZ,VA,gLAI,BRF_toc,BRF_toc(NIR),BRF_toa,,NDVI
10,30,0,0.01,0.191392,0.283913,0.170963,,0.194656063
10,30,0,0.1,0.176286,0.289314,0.158791,,0.242757732
10,30,0,0.5,0.127319,0.319463,0.119342,,0.430062088
10,30,0,1,0.090591,0.355721,0.091398,,0.594046317
10,30,0,2,0.056436,0.433202,0.065893,,0.769478676
10,30,0,3,0.043814,0.498529,0.055982,,0.838426973
10,30,0,4,0.03931,0.555813,0.05293,,0.867892856
10,30,0,5,0.037798,0.598834,0.051776,,0.881256362
10,30,0,6,0.037263,0.632808,0.051545,,0.88877895
10,30,0,7,0.037903,0.668752,0.051659,,0.892725587
10,30,18,0.01,0.19139,0.283906,0.170471,,0.194649229
10,30,18,0.1,0.176276,0.289264,0.158502,,0.242703097
10,30,18,0.5,0.127234,0.31918,0.119401,,0.429973074
10,30,18,1,0.090376,0.355001,0.091109,,0.594159555
10,30,18,2,0.056128,0.432127,0.065283,,0.770087352
10,30,18,3,0.043476,0.497074,0.055674,,0.839141615
10,30,18,4,0.03897,0.554171,0.052566,,0.868597854
10,30,18,5,0.037458,0.597142,0.051367,,0.881947684
10,30,18,6,0.03692,0.631077,0.051082,,0.889460581
10,30,18,7,0.037551,0.666797,0.051165,,0.89337373
10,30,36,0.01,0.191387,0.283888,0.170298,,0.194626269
10,30,36,0.1,0.176233,0.289114,0.158058,,0.242573821
10,30,36,0.5,0.126923,0.318315,0.118831,,0.429864477
10,30,36,1,0.089851,0.353303,0.090559,,0.594493111
10,30,36,2,0.055303,0.429305,0.064336,,0.771761919
10,30,36,3,0.042585,0.493401,0.054602,,0.841096596
10,30,36,4,0.038094,0.549831,0.051631,,0.870412042
10,30,36,5,0.036573,0.592594,0.050521,,0.883741519
10,30,36,6,0.03602,0.626356,0.050152,,0.891240021
10,30,36,7,0.036634,0.661609,0.050124,,0.895068049
10,30,54,0.01,0.191383,0.283863,0.169913,,0.194593958
10,30,54,0.1,0.176188,0.288893,0.157708,,0.242334131
10,30,54,0.5,0.126576,0.316934,0.118367,,0.42920791
10,30,54,1,0.08913,0.351089,0.08962,,0.595065183
10,30,54,2,0.054244,0.42534,0.063182,,0.773787282
10,30,54,3,0.041446,0.488456,0.05344,,0.843571075
10,30,54,4,0.03695,0.544072,0.050326,,0.872810324
10,30,54,5,0.035423,0.586578,0.049454,,0.886099862
10,30,54,6,0.034835,0.619852,0.048915,,0.893582735
10,30,54,7,0.035413,0.654745,0.04889,,0.897377122
10,30,72,0.01,0.191377,0.283832,0.169219,,0.1945565
10,30,72,0.1,0.176131,0.288624,0.157333,,0.242047961
10,30,72,0.5,0.12621,0.315525,0.11734,,0.428571429
10,30,72,1,0.088369,0.348347,0.088474,,0.59530221
10,30,72,2,0.053147,0.421043,0.062114,,0.775840908
10,30,72,3,0.040255,0.48316,0.052125,,0.846183239
10,30,72,4,0.035748,0.538055,0.048839,,0.875399745
10,30,72,5,0.034202,0.580146,0.048041,,0.888655941
10,30,72,6,0.033597,0.612963,0.047445,,0.89607461
10,30,72,7,0.034121,0.647607,0.047466,,0.899898493
10,30,90,0.01,0.191372,0.2838,0.16852,,0.194514828
10,30,90,0.1,0.176071,0.288342,0.156093,,0.241748185
10,30,90,0.5,0.125853,0.313987,0.116698,,0.427732812
10,30,90,1,0.087704,0.345753,0.087671,,0.595327795
10,30,90,2,0.052122,0.416943,0.061129,,0.777762144
10,30,90,3,0.039147,0.478184,0.050655,,0.848657823
10,30,90,4,0.03462,0.5324,0.047451,,0.877887905
10,30,90,5,0.033053,0.574104,0.046555,,0.891122066
10,30,90,6,0.032437,0.606379,0.046068,,0.898446501
10,30,90,7,0.032905,0.64085,0.04602,,0.902323545
10,30,108,0.01,0.191366,0.283768,0.167976,,0.194475664
10,30,108,0.1,0.175919,0.288069,0.155457,,0.241708837
10,30,108,0.5,0.125511,0.31263,0.115764,,0.427074846
10,30,108,1,0.087074,0.343482,0.08663,,0.595527643
10,30,108,2,0.051241,0.413291,0.060042,,0.779386565
10,30,108,3,0.038174,0.473883,0.049517,,0.850899412
10,30,108,4,0.033625,0.527444,0.046213,,0.880139519
10,30,108,5,0.032054,0.568651,0.04553,,0.893278731
10,30,108,6,0.031423,0.600512,0.044838,,0.900549898
10,30,108,7,0.031847,0.634831,0.044747,,0.904460624
10,30,126,0.01,0.191361,0.283741,0.167604,,0.194442457
10,30,126,0.1,0.175869,0.287841,0.155019,,0.241469884
10,30,126,0.5,0.125218,0.311551,0.115203,,0.426616816
10,30,126,1,0.086589,0.341492,0.085731,,0.595455066
10,30,126,2,0.050516,0.410214,0.059237,,0.780713216
10,30,126,3,0.037388,0.470284,0.048346,,0.852708048
10,30,126,4,0.032828,0.523483,0.045258,,0.881979684
10,30,126,5,0.031241,0.564205,0.044365,,0.895066891
10,30,126,6,0.030589,0.595782,0.043839,,0.90232945
10,30,126,7,0.030988,0.630028,0.043733,,0.906241301
10,30,144,0.01,0.191357,0.28372,0.167348,,0.194416905
10,30,144,0.1,0.175831,0.287667,0.154739,,0.24128691
10,30,144,0.5,0.125038,0.310645,0.114712,,0.426013868
10,30,144,1,0.086232,0.340056,0.085099,,0.595428443
10,30,144,2,0.049997,0.408083,0.05862,,0.781710618
10,30,144,3,0.036816,0.46765,0.047537,,0.854039717
10,30,144,4,0.032244,0.520591,0.044527,,0.883350367
10,30,144,5,0.030648,0.561025,0.043644,,0.896402236
10,30,144,6,0.029976,0.592372,0.042911,,0.903668044
10,30,144,7,0.030358,0.626624,0.042983,,0.907583465
10,30,162,0.01,0.191354,0.283707,0.167249,,0.194402403
10,30,162,0.1,0.175805,0.28756,0.154477,,0.241181358
10,30,162,0.5,0.124938,0.310166,0.114332,,0.425709715
10,30,162,1,0.086001,0.339044,0.084458,,0.595332259
10,30,162,2,0.049676,0.406639,0.058063,,0.78227321
10,30,162,3,0.036467,0.466007,0.047226,,0.854850201
10,30,162,4,0.031875,0.518732,0.044191,,0.88421869
10,30,162,5,0.030267,0.559,0.043143,,0.897272374
10,30,162,6,0.029598,0.590311,0.042441,,0.904508565
10,30,162,7,0.029966,0.624342,0.042451,,0.908403993
10,30,180,0.01,0.191353,0.283703,0.167188,,0.194398134
10,30,180,0.1,0.175796,0.287522,0.154433,,0.241143232
10,30,180,0.5,0.124901,0.310013,0.114442,,0.425628975
10,30,180,1,0.085924,0.338725,0.084441,,0.595317545
10,30,180,2,0.049568,0.40616,0.058323,,0.782466735
10,30,180,3,0.036347,0.465468,0.047093,,0.85513785
10,30,180,4,0.031747,0.518136,0.044167,,0.8845318
10,30,180,5,0.030137,0.558453,0.043105,,0.89759595
10,30,180,6,0.029463,0.589736,0.042481,,0.904835118
10,30,180,7,0.029828,0.623636,0.042429,,0.908708054
10,40,0,0.01,0.191235,0.283935,0.168378,,0.195088074
10,40,0,0.1,0.175219,0.28965,0.156057,,0.24615752
10,40,0,0.5,0.123495,0.321524,0.115487,,0.444989989
10,40,0,1,0.085404,0.358458,0.086963,,0.61517769
10,40,0,2,0.051445,0.436531,0.06267,,0.789149466
