SZ,VZ,VA,LAI,BRF_toc,BRF_toc(NIR),BRF_toa,LAD,NDVI
10,30,0,0.01,0.177096,0.272695,0.158065,0.006856,0.212540936
10,30,0,0.1,0.166058,0.272361,0.148999,0.06856,0.242468962
10,30,0,0.5,0.130699,0.269452,0.121133,0.3428,0.346751601
10,30,0,1,0.105589,0.264722,0.101613,0.6856,0.429727985
10,30,0,2,0.077724,0.250951,0.081172,1.3712,0.527046474
10,30,0,3,0.062797,0.245621,0.070119,2.0568,0.592779929
10,30,0,4,0.054697,0.237431,0.064278,2.7424,0.625527166
10,30,0,5,0.048913,0.230857,0.059375,3.428,0.650334203
10,30,0,6,0.046035,0.22762,0.056922,4.1136,0.663554476
10,30,0,7,0.043363,0.225665,0.055355,4.7992,0.677632068
10,30,18,0.01,0.175915,0.27138,0.157275,0.006856,0.21342738
10,30,18,0.1,0.164826,0.270454,0.147964,0.06856,0.242666789
10,30,18,0.5,0.12985,0.267052,0.120208,0.3428,0.345682309
10,30,18,1,0.104276,0.262691,0.100784,0.6856,0.431687318
10,30,18,2,0.076041,0.248177,0.080047,1.3712,0.530926722
10,30,18,3,0.061299,0.241914,0.068736,2.0568,0.59567037
10,30,18,4,0.053064,0.234076,0.06292,2.7424,0.630396322
10,30,18,5,0.04766,0.227115,0.058305,3.428,0.653097989
10,30,18,6,0.044395,0.222546,0.055735,4.1136,0.667379683
10,30,18,7,0.042049,0.221942,0.054504,4.7992,0.68143611
10,30,36,0.01,0.174513,0.269434,0.156168,0.006856,0.213811559
10,30,36,0.1,0.163669,0.268513,0.147165,0.06856,0.242592241
10,30,36,0.5,0.12804,0.263891,0.118655,0.3428,0.346619686
10,30,36,1,0.101912,0.257404,0.098968,0.6856,0.432744437
10,30,36,2,0.072491,0.240424,0.077458,1.3712,0.536672898
10,30,36,3,0.056965,0.232849,0.065834,2.0568,0.606885796
10,30,36,4,0.047982,0.222032,0.059341,2.7424,0.644596206
10,30,36,5,0.042675,0.215964,0.054758,3.428,0.670003364
10,30,36,6,0.039913,0.209238,0.052549,4.1136,0.679607949
10,30,36,7,0.036382,0.206891,0.050471,4.7992,0.700895702
10,30,54,0.01,0.174432,0.268914,0.155418,0.006856,0.213111204
10,30,54,0.1,0.163042,0.267915,0.146235,0.06856,0.243349104
10,30,54,0.5,0.127267,0.261583,0.117469,0.3428,0.345418542
10,30,54,1,0.100514,0.254295,0.097622,0.6856,0.433419107
10,30,54,2,0.071132,0.236209,0.076113,1.3712,0.537113499
10,30,54,3,0.055596,0.227394,0.064582,2.0568,0.607081522
10,30,54,4,0.045995,0.215883,0.057627,2.7424,0.648729561
10,30,54,5,0.040768,0.20728,0.05314,3.428,0.671289428
10,30,54,6,0.037202,0.200699,0.050333,4.1136,0.687248057
10,30,54,7,0.0345,0.197261,0.048649,4.7992,0.702279503
10,30,72,0.01,0.173964,0.268234,0.154601,0.006856,0.213185044
10,30,72,0.1,0.162951,0.266769,0.145521,0.06856,0.241594527
10,30,72,0.5,0.126604,0.260088,0.116528,0.3428,0.345194625
10,30,72,1,0.099785,0.251953,0.096987,0.6856,0.43261746
10,30,72,2,0.069887,0.232786,0.074825,1.3712,0.538201293
10,30,72,3,0.053886,0.221985,0.062971,2.0568,0.609339148
10,30,72,4,0.04423,0.209091,0.055908,2.7424,0.650798789
10,30,72,5,0.038985,0.199657,0.051342,3.428,0.673276288
10,30,72,6,0.035569,0.192116,0.048665,4.1136,0.687559567
10,30,72,7,0.032288,0.187171,0.046532,4.7992,0.705749138
10,30,90,0.01,0.173755,0.267389,0.153857,0.006856,0.212252688
10,30,90,0.1,0.162658,0.265803,0.144992,0.06856,0.240733696
10,30,90,0.5,0.126015,0.25903,0.115402,0.3428,0.345453129
10,30,90,1,0.099159,0.249837,0.095835,0.6856,0.431747069
10,30,90,2,0.068529,0.22945,0.07327,1.3712,0.540041412
10,30,90,3,0.052615,0.217112,0.061536,2.0568,0.609864789
10,30,90,4,0.043807,0.20348,0.055069,2.7424,0.645699127
10,30,90,5,0.038265,0.191135,0.050045,3.428,0.666390584
